customer_id|first_name|last_name|address|phone_number
92093|Robert|Davenport|462 Henry Rapids Suite 292 East Maureen PW 87756|9170501081
26595|Claire|Sherman|984 Rice Junctions Yeseniafurt WV 08620|4495323822
49308|Denise|King|794 Brian Prairie Suite 204 Lake Brentbury FM 4111|4682923383
69728|Alexander|Wilson|930 Hardy Cove Gregoryberg RI 86973|8058487673
92093|Robert|Davenport|462 Henry Rapids Suite 292 East Maureen PW 87756|9170501081
26595|Claire|Sherman|984 Rice Junctions Yeseniafurt WV 08620|4495323822
49308|Denise|King|794 Brian Prairie Suite 204 Lake Brentbury FM 4111|4682923383
69728|Alexander|Wilson|930 Hardy Cove Gregoryberg RI 86973|8058487673
92093|Robert|Davenport|462 Henry Rapids Suite 292 East Maureen PW 87756|9170501081
26595|Claire|Sherman|984 Rice Junctions Yeseniafurt WV 08620|4495323822
92093|Robert|Davenport|462 Henry Rapids Suite 292 East Maureen PW 87756|9170501081
26595|Claire|Sherman|984 Rice Junctions Yeseniafurt WV 08620|4495323822
